station_id	stationname	date	daytype	rides
40420	Cicero-Cermak	04/09/2018	W	1018
41460	Irving Park-Brown	04/21/2018	A	1560
40840	South Boulevard	04/22/2018	U	243
41190	Jarvis	05/13/2018	U	895
40180	Oak Park-Forest Park	04/15/2018	U	344
40230	Cumberland	04/20/2018	W	4424
41440	Addison-Brown	04/06/2018	W	2430
40360	Southport	04/03/2018	W	3543
41240	Addison-O'Hare	04/04/2018	W	2846
40810	Medical Center	04/12/2018	W	2171
41190	Jarvis	04/15/2018	U	816
40650	North/Clybourn	05/27/2018	U	3971
41120	35-Bronzeville-IIT	04/18/2018	W	1574
40920	Pulaski-Forest Park	04/11/2018	W	1615
40010	Austin-Forest Park	05/31/2018	W	2087
40550	Irving Park-O'Hare	06/16/2018	A	2519
41380	Bryn Mawr	05/16/2018	W	4643
40330	Grand/State	06/29/2018	W	15633
40470	Racine	06/09/2018	A	2767
40790	Monroe/Dearborn	05/27/2018	U	1988
40870	Francisco	04/08/2018	U	509
40100	Morse	05/19/2018	A	3216
41130	Halsted-Orange	04/27/2018	W	2713
40450	95th/Dan Ryan	06/22/2018	W	7764
41690	Cermak-McCormick Place	04/10/2018	W	1273
40460	Merchandise Mart	06/05/2018	W	9419
41310	Paulina	06/14/2018	W	3028
41430	87th	06/06/2018	W	4215
41480	Western-Brown	04/16/2018	W	3919
41330	Montrose-O'Hare	05/03/2018	W	2784
41680	Oakton-Skokie	04/06/2018	W	905
41200	Argyle	05/27/2018	U	2107
40830	18th	06/01/2018	W	1927
40090	Damen-Brown	05/04/2018	W	2936
41130	Halsted-Orange	06/03/2018	U	981
41660	Lake/State	04/23/2018	W	19933
40890	O'Hare Airport	05/14/2018	W	11239
41260	Austin-Lake	04/02/2018	W	1631
40530	Diversey	04/14/2018	A	2438
40020	Harlem-Lake	05/31/2018	W	4044
40930	Midway Airport	04/21/2018	A	3516
41050	Linden	05/30/2018	W	929
41280	Jefferson Park	05/16/2018	W	7052
40510	Garfield-South Elevated	04/07/2018	A	862
41340	LaSalle	06/29/2018	W	2655
41340	LaSalle	06/01/2018	W	2905
40130	51st	06/16/2018	A	620
40890	O'Hare Airport	06/25/2018	W	12554
40270	Main	06/05/2018	W	1183
40800	Sedgwick	05/16/2018	W	3935
40480	Cicero-Lake	05/31/2018	W	1326
41040	Kedzie-Cermak	06/10/2018	U	527
40820	Rosemont	06/15/2018	W	6635
40430	Clinton-Forest Park	06/17/2018	U	1234
40750	Harlem-O'Hare	06/04/2018	W	2899
40200	Randolph/Wabash	06/07/2018	W	0
40050	Davis	04/08/2018	U	1656
40340	Berwyn	06/09/2018	A	3237
40740	Western-Cermak	05/22/2018	W	1149
40330	Grand/State	05/24/2018	W	11615
40370	Washington/Dearborn	05/16/2018	W	13113
40080	Sheridan	04/24/2018	W	5052
40540	Wilson	06/23/2018	A	4660
41380	Bryn Mawr	05/26/2018	A	3566
41030	Polk	04/22/2018	U	525
40020	Harlem-Lake	05/03/2018	W	3786
41440	Addison-Brown	04/09/2018	W	2475
41040	Kedzie-Cermak	06/24/2018	U	674
40660	Armitage	05/22/2018	W	4668
40610	Ridgeland	06/01/2018	W	1826
40660	Armitage	04/28/2018	A	2216
40940	Halsted/63rd	06/01/2018	W	676
40350	UIC-Halsted	06/14/2018	W	3670
41020	Logan Square	04/14/2018	A	3544
41430	87th	04/22/2018	U	2130
41460	Irving Park-Brown	06/06/2018	W	3543
40870	Francisco	04/02/2018	W	1497
40200	Randolph/Wabash	06/10/2018	U	0
41440	Addison-Brown	05/22/2018	W	2700
41230	47th-Dan Ryan	05/27/2018	U	1833
40170	Ashland-Lake	04/20/2018	W	2326
41240	Addison-O'Hare	04/11/2018	W	3125
41030	Polk	06/15/2018	W	2987
40840	South Boulevard	06/03/2018	U	260
40490	Grand/Milwaukee	04/19/2018	W	2877
40900	Howard	06/17/2018	U	2958
41420	Addison-North Main	05/20/2018	U	3362
41440	Addison-Brown	04/17/2018	W	2676
41690	Cermak-McCormick Place	05/24/2018	W	1671
41300	Loyola	04/28/2018	A	4181
40910	63rd-Dan Ryan	06/27/2018	W	2876
41160	Clinton-Lake	06/12/2018	W	4616
41670	Conservatory	05/13/2018	U	572
41240	Addison-O'Hare	04/19/2018	W	2952
40240	79th	04/05/2018	W	6430
41360	California-Lake	05/29/2018	W	1052
40490	Grand/Milwaukee	04/29/2018	U	1278
40990	69th	04/19/2018	W	4756
41250	Central-Evanston	06/07/2018	W	898
41170	Garfield-Dan Ryan	05/19/2018	A	2451
41660	Lake/State	06/29/2018	W	24108
41320	Belmont-North Main	04/12/2018	W	12905
40160	LaSalle/Van Buren	05/02/2018	W	3154
40680	Adams/Wabash	05/02/2018	W	8056
40760	Granville	05/15/2018	W	3593
40470	Racine	06/01/2018	W	2664
40930	Midway Airport	06/18/2018	W	8786
40800	Sedgwick	04/07/2018	A	1846
41380	Bryn Mawr	05/18/2018	W	4563
40540	Wilson	05/26/2018	A	4664
41240	Addison-O'Hare	05/04/2018	W	3105
41170	Garfield-Dan Ryan	04/25/2018	W	3099
40180	Oak Park-Forest Park	05/24/2018	W	1944
41180	Kedzie-Brown	04/23/2018	W	1909
40930	Midway Airport	05/05/2018	A	4577
40960	Pulaski-Orange	04/05/2018	W	5209
41060	Ashland-Orange	06/26/2018	W	1562
41130	Halsted-Orange	05/31/2018	W	2450
40240	79th	05/01/2018	W	7073
40390	Forest Park	05/17/2018	W	3449
40840	South Boulevard	05/20/2018	U	205
40330	Grand/State	06/08/2018	W	13997
40650	North/Clybourn	04/04/2018	W	5606
40680	Adams/Wabash	04/07/2018	A	3081
40530	Diversey	06/06/2018	W	6013
41660	Lake/State	05/11/2018	W	22005
40210	Damen-Cermak	04/05/2018	W	1541
41400	Roosevelt	04/27/2018	W	11199
40670	Western/Milwaukee	04/10/2018	W	5404
40750	Harlem-O'Hare	06/02/2018	A	1362
41200	Argyle	04/28/2018	A	2472
41500	Montrose-Brown	04/08/2018	U	985
40460	Merchandise Mart	05/11/2018	W	7887
40330	Grand/State	05/01/2018	W	11292
40530	Diversey	05/02/2018	W	5831
41120	35-Bronzeville-IIT	05/15/2018	W	1514
